Регион,Ведомство,Сайт,Название Управления,ФИО руководителя пресс-службы (ФСКН) / Отдела информации и общественных связей (МВД),Основной email,Дополнительный email,ФИО начальника Управления,Комментарий
Республика Карелия,ФСКН,http://www.10.fskn.gov.ru/koordinaty/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Карелия,?,drugpolice-press@karelia.ru,,Богданов Роман Рашидович ,
Республика Коми,ФСКН,http://fskn.rkomi.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Коми,?,gnkkomi@mail.ru,,Загородний Александр Николаевич,
Республика Крым,ФСКН,http://82.fskn.gov.ru/pages/main/public_relations/child1/index.shtml,Региональное управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Крым,Трацевский Андрей Иванович,pressanark@yandex.ru,,Гаджиахмедов Фахрудин Велибекович,
Республика Марий Эл,ФСКН,http://fskn.gov12.ru/contact.htm,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Марий Эл,?,fskn@mari-el.ru,,Щитов Александр Андреевич,
Республика Мордовия,ФСКН,http://www.ufskn-rm.ru/contacts/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Мордовия,?,pressaufsknrm@yandex.ru,ufsknrm@mail.ru,Бибишев Александр Федорович,
Республика Саха,ФСКН,http://14.fskn.gov.ru/obshhestvennyie-svyazi-i-smi/press-sluzhba/1379.html,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Саха (Якутия),?,14.gios@mail.ru,,Выродов Юрий Николаевич,
Республика Северная Осетия,ФСКН,http://www.15.fskn.gov.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Северная Осетия-Алания,?,ufskn@rso-a.ru,,Шевалье Александр Александрович,
Республика Татарстан,ФСКН,http://ufskn.tatarstan.ru/rus/kontaktnaya-informatsiya.htm,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Татарстан,Яцунова Алина Рамилевна ,ufskn.rt@tatar.ru,info@116.fskn.gov.ru,Шабаев Фаяз Баянович,Ошибочный второй адрес
Республика Тыва,ФСКН,http://narkostop.net/index.php?option=com_content&view=article&id=15&Itemid=22,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Тыва,?,tuvpol@mail.ru,,Макаров Вячеслав Михайлович,
Республика Удмуртия,ФСКН,http://www.18.fskn.gov.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Удмуртской Республике,?,ps-fskn18@yandex.ru,,Лукин Сергей Трифонович,
Республика Хакасия,ФСКН,http://www.19.fskn.gov.ru/contacts/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Хакасия,?,taxpol@khakasnet.ru,,Петров Евгений Викторович,
Республика Чечня,ФСКН,http://fskn-chr.ru/index.php?option=com_content&view=article&id=20&Itemid=21,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Чеченской Республике,?,ufskn-chr@mail.ru,,Таймасханов Масхуд Султанович,
Республика Чувашия,ФСКН,http://gov.cap.ru/SiteMap.aspx?gov_id=26&id=1256694,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Чувашской Республике – Чувашии,Анисимова Ирина Геннадьевна,info@21.fskn.gov.ru,,Барсуков Евгений Николаевич,
Ростовская область,ФСКН,http://www.fskn-rostov.ru/index.php?do=static&page=pressa,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Ростовской области,Садовая Елена Викторовна,ufskn-rostov@yandex.ru,fskn@donpac.ru,Сабаев Олег Павлович,
Рязанская область,ФСКН,http://www.rugnk.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Рязанской области,?,PG@gnk.rzn.ru,,Селин Сергей Алексеевич,
Самарская область,ФСКН,http://www.63.fskn.gov.ru/index.php?newsid=558,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Самарской области,?,gnkpress@samtel.ru,var_var_041815@mail.ru,Берёзкин Евгений Георгиевич,
Санкт-Петербург и Ленинградская область,ФСКН,http://78.fskn.gov.ru/,Региональное управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по г. Санкт-Петербургу и Ленинградской области,?,narkokontrol-spb@yandex.ru,,Черкашин Виталий Николаевич,
Саратовская область,ФСКН,http://www.64.fskn.gov.ru/kontakty-press-slyzhby,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Саратовской области,?,fskn64@san.ru,press@64.fskn.gov.ru.,Гришнёв Александр Иванович,
Сахалинская область,ФСКН,http://www.fskn.gov.ru/pages/main/info/map/dfo/4906/index.shtml,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Сахалинской области,?,sakh-police@@sakhalin.ru,,Устиновская Любовь Юльевна,
Свердловская область,ФСКН,http://66.fskn.gov.ru/contacts/_b4,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Свердловской области,?,pressa@66.fskn.gov.ru,,Андрющенко Андрей Иванович,
Севастополь,ФСКН,http://82.fskn.gov.ru/pages/main/information/contacts/index.shtml,Региональное управление ФСКН России по Республике Крым - Служба по городу федерального значения Севастополь,?,sevastopol@fskn.82.gov.ru,,Колозин Дмитрий Михайлович,Ошибочный адрес
Смоленская область,ФСКН,http://www.fskn-smolensk.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Смоленской области,?,ufskn_smol@hotbox.ru,smol@67.fskn.gov.ru,Бабенко Сергей Витальевич,
Ставропольский край,ФСКН,http://www.ufsknsk.ru/index.php?name=structure&op=show_podrs&srid=1,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Ставропольскому краю,,press-service@ufsknsk.ru,ufsknsk@ufsknsk.ru,Клименченко Александр Павлович,
Тамбовская область,ФСКН,http://www.68.fskn.gov.ru/index.php?option=com_content&view=category&layout=blog&id=34&Itemid=26,Управление Федеральной службы Российской  Федерации по контролю за оборотом наркотиков по Тамбовской области,?,ufskn.tmb.iao@yandex.ru,info@68.fskn.gov.ru,Скоков Николай Валентинович,
Тверская область,ФСКН,http://www.fskn-tver.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Тверской области,?,fskn-tver@yandex.ru,,Попенко Василий Иванович,
Томская область,ФСКН,http://fskn.tomsk.gov.ru/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Томской области,?,gios@fskn.tomsk.gov.ru,pressa@fskn.tomsk.gov.ru,Толстоносов Игорь Валерьевич,
Тульская область,ФСКН,http://www.71.fskn.gov.ru/contact/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Тульской области,?,fskntula@yandex.ru,pressa@71.fskn.gov.ru,Матвеев Александр Николаевич,
Тюменская область,ФСКН,http://www.fskn72.ru/pub.php?id=374,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Тюменской области,?,pressa_nark@tmn.ru,,Тхазаплижев Юрий Жамалович,
Ульяновская область,ФСКН,http://www.73.fskn.gov.ru/kontakty,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Ульяновской области,?,ulfskn@mail.ru,,Люльков Сергей Александрович,
Хабаровский край,ФСКН,http://www.27.fskn.gov.ru/contacts.html,Региональное Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Хабаровскому краю,?,fskn27@27.fskn.gov.ru,fskn27@fskn.kht.ru,Зяблицкий Алексей Станиславович,
Ханты-Мансийский АО,ФСКН,http://www.gnk86.ru/press/contants/,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Ханты-Мансийскому автономному округу – Югре,?,gios86@mail.ru,,Якименко Алексей Петрович,
Челябинская область,ФСКН,http://www.74.fskn.gov.ru/contacts/2-upravlenie/1-ufsknchel.html,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Челябинской области,?,ufskn.chel@mail.ru,,Савченко Евгений Юрьевич,
Чукотский АО,ФСКН,,,,,,,относится к Магаданской области
Ямало-Ненецкий АО,ФСКН,http://www.gnk89.ru/kontactpr/65-allpress/2-beljalova-zamira-shaukatovna,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Ямало-Ненецкому автономному округу,Белялова Замира Шаукатовна,pressa-ufskn@yandex.ru,,Насрулаев Сергей Алиевич,
Ярославская область,ФСКН,http://www.76.fskn.gov.ru/kontakti.htm,Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Ярославской области,Малахова Екатерина Сергеевна,police@adm.yar.ru,,Хмельницкий Виталий Владимирович,
